TrainingSetSize,DiffusionChain,Shape,Number,Color,Form.0,Seen.1,Form.1,Seen.2,Form.2,Seen.3,Form.3,Seen.4,Form.4,Seen.5,Form.5,Seen.6,Form.6,Seen.7,Form.7,Seen.8,Form.8,Seen.9,Form.9,Seen.10,Form.10
15,10,phone,three,red,vankuta,1,trinkata,0,vankata,0,vontinki,0,tritavi,1,trivanti,1,trivatini,0,trivataniti,1,tranatiniti,0,ruboun,1,trenesti
15,10,phone,two,blue,sovonsi,1,saltinki,1,saltinki,0,vontinki,0,trivata,0,tintiki,1,trivantini,0,trininiti,1,sabaniti,1,travre,0,truler
15,10,phone,two,green,valsinsin,0,sunviki,0,vankata,0,vantinki,0,trivanti,0,NA,0,trivatini,1,trivatiti,0,trivaniti,1,travet,1,trulet
15,10,phone,two,red,kilkolvil,0,saltinki,0,vontili,0,vantinki,1,tritiki,1,trivanti,1,trivantini,1,trivantini,0,travinitini,1,trivetelli,0,trvesti
15,11,berry,one,blue,vilvisi,1,kilvisi,0,kilasil,0,suvansu,0,kilasil,0,sukanti,1,suvasu,1,suvasu,0,sisian,0,silson,0,kapil
15,11,berry,one,green,sivunvu,1,vilsinvi,0,suvana,0,suvantu,1,sukantu,1,kilakil,0,suvanna,0,suvans,1,susin,1,silano,1,kapil
15,11,berry,one,red,kilvantun,1,kilvivu,0,suvansu,1,kilasil,0,sukonson,1,suvonson,1,sankil,0,NA,0,sisian,1,suison,1,susion
15,11,berry,three,blue,kontoltu,1,tilvunsil,1,sukasil,1,suvansu,0,kiakun,1,subantu,0,suvansu,1,suvansu,0,susiano,0,sisaianaso,1,sikapil
15,11,berry,three,green,valvantin,0,silvilsun,0,suntaku,1,suntaku,1,svansu,1,silsonsu,0,suvans,0,suvansu,0,susiani,1,siusianaso,1,suision
15,11,berry,three,red,kalvunsu,0,kilvunsil,1,kilakil,0,suvantu,0,kilasil,1,svonson,1,suvanna,0,suvasu,1,susanio,1,suisianaso,1,siklap
15,11,berry,two,blue,kulvilsu,0,tilvansu,0,suvantu,1,kilasil,1,kilaki,0,kiakun,0,suvanna,0,suvans,1,susiano,0,silsano,1,susioanp
15,11,berry,two,green,tikavon,0,silvisu,0,silakil,0,suvansu,0,silvonkil,1,subonta,0,kilson,0,suvansu,1,siusiano,1,susiano,0,sakpil
15,11,berry,two,red,salvutun,1,kontulsil,0,sintkil,1,suvansu,1,suvonton,1,kilakil,0,killlasu,1,kiliasu,1,susiano,1,silsano,0,silano
15,11,key,one,blue,silkilki,0,silvisu,1,kilaki,1,kilaki,0,svanna,1,svanna,1,sovansu,0,kilson,1,kilson,0,silaso,0,siklap
15,11,key,one,green,siltilso,1,silvisu,0,suvanti,0,sintkil,1,kuvonson,1,suvonson,0,suvanna,1,kilson,1,kilson,0,suisiano,0,sussiano
15,11,key,one,red,tinkito,1,tinkito,1,kilvilsil,1,kilaki,1,sukanti,1,subatu,1,kilasom,1,kilasom,1,kilson,0,suilson,1,siklap
15,11,key,three,blue,kalvinki,1,kavinka,0,svanna,1,svanna,1,svanna,0,subanna,1,suvanso,1,suvanso,0,susanio,0,silsasia,1,sikapil
15,11,key,three,green,kunvunson,1,silvinsun,1,kunatu,1,suntkil,1,kikisil,0,kilason,1,sonva,1,sonva,0,susiano,0,silpaso,0,sussiani
15,11,key,three,red,vilkulsil,1,konvunson,0,suntkil,1,suntkil,0,kiakun,0,silvonson,1,kilason,0,suvanna,1,susianso,1,suisasia,0,kapil
15,11,key,two,blue,kusoson,0,kinvilsil,0,suvansun,0,kilaki,0,kilaki,0,silbantu,0,suvan,1,suvan,1,kilason,1,kilso,1,susison
15,11,key,two,green,tanviton,1,vilsuntul,1,kilasil,1,kilaki,0,kilakil,0,subantu,1,kilason,1,kilason,1,kiliason,1,kilson,0,suklop
15,11,key,two,red,kaltalto,0,kontunson,1,sukatil,1,kiasil,1,kuvonson,0,suvonsu,1,suvans,0,suvan,1,kilson,1,kilason,1,kapli
15,11,phone,one,blue,kansusi,0,vilvansi,1,kilasil,0,kilaki,0,suvansu,1,subantu,0,suvanna,0,sinkil,1,sikpil,0,sikpil,0,kapil
15,11,phone,one,green,vavunku,0,vintulsin,1,suvantu,0,sukantu,1,kilakil,1,subonta,1,kilson,1,kilson,0,sikpil,0,sikapil,1,suson
15,11,phone,one,red,tultiku,1,kilvinsun,1,sukantu,0,silvonson,1,sinkkil,1,sinkil,1,sinkil,1,sinkil,0,sikpil,1,sikpil,1,sikapil
15,11,phone,three,blue,kitivin,1,kitivin,0,kiakun,1,kiakun,1,suntaku,0,kiakun,0,suvans,1,suvans,0,sisiano,1,suisiano,1,susaon
15,11,phone,three,green,kolsulki,0,silvilsil,1,sukantu,1,sukantu,0,svanson,0,kiakun,1,kilason,0,savnaa,0,silasiano,1,suisiano,0,sussiiaano
15,11,phone,three,red,sintulvon,1,kilvunson,1,kilakil,0,suntasi,1,silvonson,1,silvonson,0,suvanna,0,suvans,0,silianaso,1,sianso,0,silap
15,11,phone,two,blue,koltankin,1,kivtusun,1,silvunson,1,kuvonson,1,suntaku,1,silvonsu,1,savnaa,1,savnaa,0,susania,1,silaso,0,sikapiol
15,11,phone,two,green,vonsinko,0,silvilton,1,kavikil,0,suntaku,0,kuvonson,0,silsvona,0,sovansu,1,sovansu,1,sikpil,0,susiano,1,suissiano
15,11,phone,two,red,tinkolkal,0,tontiku,1,sukantu,0,sunaki,1,kilasil,0,svonsu,1,suvanaso,1,suvanaso,1,susiano,0,sisuion,1,sakpli
15,12,berry,one,blue,sulsunsan,0,kokosu,0,kisuso,0,volsoko,0,vosoko,0,kisoso,0,centake,1,takate,0,kolavo,0,soulvent,0,kisouk
15,12,berry,one,green,sulvunvan,1,sulvunvan,1,tikato,1,tokatu,1,sokoso,1,takato,1,takate,0,takate,1,takate,1,kisoun,0,kisouk
15,12,berry,one,red,tosilva,0,sovoko,1,sovoko,0,kisuso,1,kisuso,0,kisuso,1,kisuso,1,kisuso,1,kisos,1,kisous,1,kisouk
15,12,berry,three,blue,santava,1,savanta,1,volsoko,1,sulkoso,0,sintavel,0,vanosok,1,sentave,1,sentave,0,sulvanon,1,vantan,1,cancem
15,12,berry,three,green,kintanki,0,tunvunvun,1,tunvunvun,1,sulvunvan,1,tokato,1,kisoso,0,vunae,0,censok,1,censok,1,kisou,0,kiskis
15,12,berry,three,red,tonkatan,1,sunvunvunl,0,savanta,1,sintavel,0,suvlanan,1,kisuso,0,sulnavn,0,sintoko,0,kolak,0,simolat,0,vantan
15,12,berry,two,blue,silvilkon,0,sintavul,0,sovoko,1,vulsoku,1,takato,1,kisuso,0,sintake,0,sentave,0,sentave,1,suvan,0,cancen
15,12,berry,two,green,konkalsal,0,tonkata,0,sulvunvan,1,sulvunvan,0,kisuso,1,sakato,1,takate,1,sentake,1,sentake,0,kinsou,0,cancem
15,12,berry,two,red,sativa,0,vusutal,0,sokosu,0,sintavo,1,vulnan,1,takato,0,sinsok,1,sintave,1,sintav,0,cancen,1,cancem
15,12,key,one,blue,vatunso,0,vusuol,1,tokatu,1,sovoko,1,centave,1,centave,1,sintave,1,sintave,0,taka,0,soulvan,1,saoul
15,12,key,one,green,vusutal,1,volsilvo,0,vusutal,0,centavos,0,sintavel,0,centave,0,vensok,1,veno,1,veno,1,sounk,1,sounk
15,12,key,one,red,sintavul,1,sintavul,0,sintavel,1,sintavel,1,sintave,1,sintave,1,kisoso,1,kisoso,0,kisuso,1,kelmec,0,saoul
15,12,key,three,blue,tunvunvu,1,sosonkon,0,kilkiltal,1,vosoko,1,vosoko,0,sulvanovan,1,tan,0,sultavnon,1,sultanov,1,saoul,1,ventan
15,12,key,three,green,vunvonso,0,sokosu,1,vusuol,1,suvoku,0,vosoko,1,vunao,1,venoe,1,venok,1,venok,1,san,0,sounk
15,12,key,three,red,sosonkon,1,sintavul,1,centavos,0,volsoko,1,vosoko,0,sulvanaven,1,sulvanon,1,vensok,1,vensok,1,vasent,1,saeoul
15,12,key,two,blue,kisuson,1,kisuso,1,kisuso,0,sovoko,0,vosoko,0,sokuso,0,centavel,1,sintave,0,sentov,1,NA,0,venta
15,12,key,two,green,sinkotan,1,tokatu,1,sovoko,0,sokasi,0,vulsok,1,takato,0,sentave,0,vensot,1,vensot,1,selv,0,sounk
15,12,key,two,red,tolvalvil,0,vusutal,1,savanta,0,vulsoko,1,vulsoko,0,valnoko,1,satavel,0,kisoso,0,kisov,0,vestan,1,seoul
15,12,phone,one,blue,vonvonsa,0,kilkital,1,kilkital,1,kisusuo,0,centavel,0,centavel,0,sintavel,0,kimolak,1,kimolak,1,NA,0,venta
15,12,phone,one,green,kiltilkal,1,kilkiltal,0,centavos,1,centavos,0,centavel,1,sintavel,1,takasok,0,kimolak,0,takov,0,kelac,1,couskisk
15,12,phone,one,red,vuvalvin,0,sokusa,1,sokosu,1,centavel,1,centavel,0,kisoso,1,kisoso,0,kimolak,0,kimolak,0,kouskis,1,kisouk
15,12,phone,three,blue,kalsasil,0,kokuso,0,kisuso,1,kisuso,0,tunvaso,0,sintavo,0,sultavnon,1,sulvavnon,1,sulavnov,1,vanac,1,vantan
15,12,phone,three,green,kantintu,1,kantito,0,sokosu,0,sulvaso,1,savantan,1,centavel,1,sulvenan,0,venoe,1,venoe,0,NA,0,visouc
15,12,phone,three,red,sosoku,1,sosoku,1,volsoko,0,savanta,1,vulsoko,1,sulvanavn,1,sulvonan,0,kolak,1,kolak,1,selman,1,kisouk
15,12,phone,two,blue,kokunvul,1,kokunvol,1,kokunvol,1,tunvaso,1,tunvaso,1,moloko,1,moloko,1,sentave,1,sentave,0,venta,1,visook
15,12,phone,two,green,volsilvo,1,kantitu,0,sokosu,0,kisuso,0,sulvanovan,1,centavel,0,censok,1,vensok,0,ventake,0,salman,1,kansouk
15,12,phone,two,red,volsolkun,1,volsoko,1,kokunvol,0,kokunval,1,vosoko,0,centaval,0,kimolak,1,kimolak,0,kimolak,0,kisouc,1,kisouk
